fname,label
Freddie (13).wav,Freddie Mercury
Freddie (14).wav,Freddie Mercury
Freddie (15).wav,Freddie Mercury
Freddie (16).wav,Freddie Mercury
Freddie (17).wav,Freddie Mercury
Freddie (18).wav,Freddie Mercury
Freddie (19).wav,Freddie Mercury
Freddie (20).wav,Freddie Mercury
Freddie (21).wav,Freddie Mercury
Freddie (22).wav,Freddie Mercury
Freddie (23).wav,Freddie Mercury
Freddie (24).wav,Freddie Mercury
Freddie (25).wav,Freddie Mercury
Freddie (26).wav,Freddie Mercury
Freddie (27).wav,Freddie Mercury
Freddie (28).wav,Freddie Mercury
Freddie (29).wav,Freddie Mercury
Freddie (30).wav,Freddie Mercury
Freddie (31).wav,Freddie Mercury
Freddie (32).wav,Freddie Mercury
Freddie (33).wav,Freddie Mercury
Freddie (34).wav,Freddie Mercury
Freddie (35).wav,Freddie Mercury
Freddie (36).wav,Freddie Mercury
Freddie (37).wav,Freddie Mercury
Freddie (38).wav,Freddie Mercury
Freddie (39).wav,Freddie Mercury
Freddie (40).wav,Freddie Mercury
Freddie (41).wav,Freddie Mercury
Freddie (42).wav,Freddie Mercury
Freddie (43).wav,Freddie Mercury
Freddie (44).wav,Freddie Mercury
Freddie (45).wav,Freddie Mercury
Freddie (46).wav,Freddie Mercury
Freddie (47).wav,Freddie Mercury
Freddie (48).wav,Freddie Mercury
Freddie (49).wav,Freddie Mercury
Freddie (50).wav,Freddie Mercury
Freddie (51).wav,Freddie Mercury
Freddie (52).wav,Freddie Mercury
Freddie (53).wav,Freddie Mercury
Freddie (54).wav,Freddie Mercury
Freddie (55).wav,Freddie Mercury
Freddie (56).wav,Freddie Mercury
Freddie (57).wav,Freddie Mercury
Freddie (58).wav,Freddie Mercury
Freddie (59).wav,Freddie Mercury
Freddie (60).wav,Freddie Mercury
Freddie (61).wav,Freddie Mercury
Freddie (62).wav,Freddie Mercury
Freddie (63).wav,Freddie Mercury
Freddie (64).wav,Freddie Mercury
Freddie (65).wav,Freddie Mercury
Freddie (66).wav,Freddie Mercury
Freddie (67).wav,Freddie Mercury
Freddie (68).wav,Freddie Mercury
Freddie (69).wav,Freddie Mercury
Freddie (70).wav,Freddie Mercury
Freddie (71).wav,Freddie Mercury
Freddie (72).wav,Freddie Mercury
Freddie (73).wav,Freddie Mercury
Freddie (74).wav,Freddie Mercury
Freddie (75).wav,Freddie Mercury
Freddie (76).wav,Freddie Mercury
Freddie (77).wav,Freddie Mercury
Freddie (78).wav,Freddie Mercury
Freddie (79).wav,Freddie Mercury
Freddie (80).wav,Freddie Mercury
Freddie (81).wav,Freddie Mercury
Freddie (82).wav,Freddie Mercury
Freddie (83).wav,Freddie Mercury
Freddie (84).wav,Freddie Mercury
Freddie (85).wav,Freddie Mercury
Freddie (86).wav,Freddie Mercury
Freddie (87).wav,Freddie Mercury
Freddie (88).wav,Freddie Mercury
Freddie (89).wav,Freddie Mercury
Freddie (90).wav,Freddie Mercury
Freddie (91).wav,Freddie Mercury
Freddie (92).wav,Freddie Mercury
Freddie (93).wav,Freddie Mercury
Freddie (94).wav,Freddie Mercury
Freddie (95).wav,Freddie Mercury
Freddie (96).wav,Freddie Mercury
Freddie (97).wav,Freddie Mercury
Freddie (98).wav,Freddie Mercury
Freddie (99).wav,Freddie Mercury
Freddie (100).wav,Freddie Mercury
Hetfield (1).wav,James Hetfield
Hetfield (2).wav,James Hetfield
Hetfield (3).wav,James Hetfield
Hetfield (4).wav,James Hetfield
Hetfield (5).wav,James Hetfield
Hetfield (6).wav,James Hetfield
Hetfield (7).wav,James Hetfield
Hetfield (8).wav,James Hetfield
Hetfield (9).wav,James Hetfield
Hetfield (10).wav,James Hetfield
Hetfield (11).wav,James Hetfield
Hetfield (12).wav,James Hetfield
Hetfield (13).wav,James Hetfield
Hetfield (14).wav,James Hetfield
Hetfield (15).wav,James Hetfield
Hetfield (16).wav,James Hetfield
Hetfield (17).wav,James Hetfield
Hetfield (18).wav,James Hetfield
Hetfield (19).wav,James Hetfield
Hetfield (20).wav,James Hetfield
Hetfield (21).wav,James Hetfield
Hetfield (22).wav,James Hetfield
Hetfield (23).wav,James Hetfield
Hetfield (24).wav,James Hetfield
Hetfield (25).wav,James Hetfield
Hetfield (26).wav,James Hetfield
Hetfield (27).wav,James Hetfield
Hetfield (28).wav,James Hetfield
Hetfield (29).wav,James Hetfield
Hetfield (30).wav,James Hetfield
Hetfield (31).wav,James Hetfield
Hetfield (32).wav,James Hetfield
Hetfield (33).wav,James Hetfield
Hetfield (34).wav,James Hetfield
Hetfield (35).wav,James Hetfield
Hetfield (36).wav,James Hetfield
Hetfield (37).wav,James Hetfield
Hetfield (38).wav,James Hetfield
Hetfield (39).wav,James Hetfield
Hetfield (40).wav,James Hetfield
Hetfield (41).wav,James Hetfield
Hetfield (42).wav,James Hetfield
Hetfield (43).wav,James Hetfield
Hetfield (44).wav,James Hetfield
Hetfield (45).wav,James Hetfield
Hetfield (46).wav,James Hetfield
Hetfield (47).wav,James Hetfield
Hetfield (48).wav,James Hetfield
Hetfield (49).wav,James Hetfield
Hetfield (50).wav,James Hetfield
Hetfield (51).wav,James Hetfield
Hetfield (52).wav,James Hetfield
Hetfield (53).wav,James Hetfield
Hetfield (54).wav,James Hetfield
Hetfield (55).wav,James Hetfield
Hetfield (56).wav,James Hetfield
Hetfield (57).wav,James Hetfield
Hetfield (58).wav,James Hetfield
Hetfield (59).wav,James Hetfield
Hetfield (60).wav,James Hetfield
Hetfield (61).wav,James Hetfield
Hetfield (62).wav,James Hetfield
Hetfield (63).wav,James Hetfield
Hetfield (64).wav,James Hetfield
Hetfield (65).wav,James Hetfield
Hetfield (66).wav,James Hetfield
Hetfield (67).wav,James Hetfield
Hetfield (68).wav,James Hetfield
Hetfield (69).wav,James Hetfield
Hetfield (70).wav,James Hetfield
Hetfield (71).wav,James Hetfield
Hetfield (72).wav,James Hetfield
Hetfield (73).wav,James Hetfield
Hetfield (74).wav,James Hetfield
Hetfield (75).wav,James Hetfield
Hetfield (76).wav,James Hetfield
Hetfield (77).wav,James Hetfield
Hetfield (78).wav,James Hetfield
Hetfield (79).wav,James Hetfield
Hetfield (80).wav,James Hetfield
Hetfield (81).wav,James Hetfield
Hetfield (82).wav,James Hetfield
Hetfield (83).wav,James Hetfield
Hetfield (84).wav,James Hetfield
Hetfield (85).wav,James Hetfield
Hetfield (86).wav,James Hetfield
Hetfield (87).wav,James Hetfield
Hetfield (88).wav,James Hetfield
Hetfield (89).wav,James Hetfield
Hetfield (90).wav,James Hetfield
Hetfield (91).wav,James Hetfield
Hetfield (92).wav,James Hetfield
Hetfield (93).wav,James Hetfield
Hetfield (94).wav,James Hetfield
Hetfield (95).wav,James Hetfield
Hetfield (96).wav,James Hetfield
Hetfield (97).wav,James Hetfield
Hetfield (98).wav,James Hetfield
Hetfield (99).wav,James Hetfield
Hetfield (100).wav,James Hetfield
Michael (1).wav,Michael Jackson
Michael (2).wav,Michael Jackson
Michael (3).wav,Michael Jackson
Michael (4).wav,Michael Jackson
Michael (5).wav,Michael Jackson
Michael (6).wav,Michael Jackson
Michael (7).wav,Michael Jackson
Michael (8).wav,Michael Jackson
Michael (9).wav,Michael Jackson
Michael (10).wav,Michael Jackson
Michael (11).wav,Michael Jackson
Michael (12).wav,Michael Jackson
Michael (13).wav,Michael Jackson
Michael (14).wav,Michael Jackson
Michael (15).wav,Michael Jackson
Michael (16).wav,Michael Jackson
Michael (17).wav,Michael Jackson
Michael (18).wav,Michael Jackson
Michael (19).wav,Michael Jackson
Michael (20).wav,Michael Jackson
Michael (21).wav,Michael Jackson
Michael (22).wav,Michael Jackson
Michael (23).wav,Michael Jackson
Michael (24).wav,Michael Jackson
Michael (25).wav,Michael Jackson
Michael (26).wav,Michael Jackson
Michael (27).wav,Michael Jackson
Michael (28).wav,Michael Jackson
Michael (29).wav,Michael Jackson
Michael (30).wav,Michael Jackson
Michael (31).wav,Michael Jackson
Michael (32).wav,Michael Jackson
Michael (33).wav,Michael Jackson
Michael (34).wav,Michael Jackson
Michael (35).wav,Michael Jackson
Michael (36).wav,Michael Jackson
Michael (37).wav,Michael Jackson
Michael (38).wav,Michael Jackson
Michael (39).wav,Michael Jackson
Michael (40).wav,Michael Jackson
Michael (41).wav,Michael Jackson
Michael (42).wav,Michael Jackson
Michael (43).wav,Michael Jackson
Michael (44).wav,Michael Jackson
Michael (45).wav,Michael Jackson
Michael (46).wav,Michael Jackson
Michael (47).wav,Michael Jackson
Michael (48).wav,Michael Jackson
Michael (49).wav,Michael Jackson
Michael (50).wav,Michael Jackson
Michael (51).wav,Michael Jackson
Michael (52).wav,Michael Jackson
Michael (53).wav,Michael Jackson
Michael (54).wav,Michael Jackson
Michael (55).wav,Michael Jackson
Michael (56).wav,Michael Jackson
Michael (57).wav,Michael Jackson
Michael (58).wav,Michael Jackson
Michael (59).wav,Michael Jackson
Michael (60).wav,Michael Jackson
Michael (61).wav,Michael Jackson
Michael (62).wav,Michael Jackson
Michael (63).wav,Michael Jackson
Michael (64).wav,Michael Jackson
Michael (65).wav,Michael Jackson
Michael (66).wav,Michael Jackson
Michael (67).wav,Michael Jackson
Michael (68).wav,Michael Jackson
Michael (69).wav,Michael Jackson
Michael (70).wav,Michael Jackson
Michael (71).wav,Michael Jackson
Michael (72).wav,Michael Jackson
Michael (73).wav,Michael Jackson
Michael (74).wav,Michael Jackson
Michael (75).wav,Michael Jackson
Michael (76).wav,Michael Jackson
Michael (77).wav,Michael Jackson
Michael (78).wav,Michael Jackson
Michael (79).wav,Michael Jackson
Michael (80).wav,Michael Jackson
Michael (81).wav,Michael Jackson
Michael (82).wav,Michael Jackson
Michael (83).wav,Michael Jackson
Michael (84).wav,Michael Jackson
Michael (85).wav,Michael Jackson
Michael (86).wav,Michael Jackson
Michael (87).wav,Michael Jackson
Michael (88).wav,Michael Jackson
Michael (89).wav,Michael Jackson
Michael (90).wav,Michael Jackson
Michael (91).wav,Michael Jackson
Michael (92).wav,Michael Jackson
Michael (93).wav,Michael Jackson
Michael (94).wav,Michael Jackson
Michael (95).wav,Michael Jackson
Michael (96).wav,Michael Jackson
Michael (97).wav,Michael Jackson
Michael (98).wav,Michael Jackson
Michael (99).wav,Michael Jackson
Michael (100).wav,Michael Jackson
